vector,frame,subframe,field,got
PITCH,632,-1,top_open_loop,49
PITCH,633,-1,top_open_loop,37
PITCH,634,-1,top_open_loop,75
PITCH,635,-1,top_open_loop,36
PITCH,636,-1,top_open_loop,36
PITCH,637,-1,top_open_loop,37
PITCH,638,-1,top_open_loop,37
PITCH,639,-1,top_open_loop,143
PITCH,640,-1,top_open_loop,38
PITCH,641,-1,top_open_loop,37
PITCH,642,-1,top_open_loop,37
PITCH,643,-1,top_open_loop,38
PITCH,644,-1,top_open_loop,113
PITCH,645,-1,top_open_loop,50
PITCH,646,-1,top_open_loop,38
PITCH,647,-1,top_open_loop,77
PITCH,648,-1,top_open_loop,37
PITCH,649,-1,top_open_loop,37
PITCH,650,-1,top_open_loop,37
PITCH,651,-1,top_open_loop,49
PITCH,652,-1,top_open_loop,38
PITCH,653,-1,top_open_loop,77
PITCH,654,-1,top_open_loop,37
PITCH,655,-1,top_open_loop,37
PITCH,656,-1,top_open_loop,37
PITCH,657,-1,top_open_loop,38
PITCH,658,-1,top_open_loop,143
PITCH,659,-1,top_open_loop,38
PITCH,660,-1,top_open_loop,39
PITCH,661,-1,top_open_loop,115
PITCH,662,-1,top_open_loop,38
PITCH,663,-1,top_open_loop,38
PITCH,664,-1,top_open_loop,20
PITCH,665,-1,top_open_loop,39
PITCH,666,-1,top_open_loop,40
PITCH,667,-1,top_open_loop,39
PITCH,668,-1,top_open_loop,39
PITCH,669,-1,top_open_loop,117
PITCH,670,-1,top_open_loop,40
PITCH,671,-1,top_open_loop,143
PITCH,672,-1,top_open_loop,40
PITCH,673,-1,top_open_loop,118
PITCH,674,-1,top_open_loop,38
PITCH,675,-1,top_open_loop,38
PITCH,676,-1,top_open_loop,39
PITCH,677,-1,top_open_loop,20
PITCH,678,-1,top_open_loop,39
PITCH,679,-1,top_open_loop,118
PITCH,680,-1,top_open_loop,38
PITCH,681,-1,top_open_loop,39
PITCH,682,-1,top_open_loop,39
PITCH,683,-1,top_open_loop,54
PITCH,684,-1,top_open_loop,40
PITCH,685,-1,top_open_loop,40
PITCH,686,-1,top_open_loop,40
PITCH,687,-1,top_open_loop,40
PITCH,688,-1,top_open_loop,40
PITCH,689,-1,top_open_loop,50
PITCH,690,-1,top_open_loop,143
PITCH,691,-1,top_open_loop,41
PITCH,692,-1,top_open_loop,81
PITCH,693,-1,top_open_loop,81
PITCH,694,-1,top_open_loop,39
PITCH,695,-1,top_open_loop,40
PITCH,696,-1,top_open_loop,95
PITCH,697,-1,top_open_loop,40
PITCH,698,-1,top_open_loop,122
PITCH,699,-1,top_open_loop,41
PITCH,700,-1,top_open_loop,40
PITCH,701,-1,top_open_loop,40
PITCH,702,-1,top_open_loop,53
PITCH,703,-1,top_open_loop,41
PITCH,704,-1,top_open_loop,83
PITCH,705,-1,top_open_loop,40
PITCH,706,-1,top_open_loop,40
PITCH,707,-1,top_open_loop,42
PITCH,708,-1,top_open_loop,42
PITCH,709,-1,top_open_loop,20
PITCH,710,-1,top_open_loop,42
PITCH,711,-1,top_open_loop,41
PITCH,712,-1,top_open_loop,42
PITCH,713,-1,top_open_loop,41
PITCH,714,-1,top_open_loop,43
PITCH,715,-1,top_open_loop,22
PITCH,716,-1,top_open_loop,43
PITCH,717,-1,top_open_loop,43
PITCH,718,-1,top_open_loop,42
PITCH,719,-1,top_open_loop,41
PITCH,720,-1,top_open_loop,41
PITCH,721,-1,top_open_loop,20
PITCH,722,-1,top_open_loop,42
PITCH,723,-1,top_open_loop,42
PITCH,724,-1,top_open_loop,42
PITCH,725,-1,top_open_loop,42
PITCH,726,-1,top_open_loop,43
PITCH,727,-1,top_open_loop,43
PITCH,728,-1,top_open_loop,21
PITCH,729,-1,top_open_loop,43
PITCH,730,-1,top_open_loop,126
PITCH,731,-1,top_open_loop,43
